age,gender,height_cm,weight_kg,activity_level,goal,diet_type,budget_rs,workout_time_min,daily_calories
24,1,169,78,2,0,0,250,64,1721.25
21,1,165,78,4,0,1,239,26,1711.25
28,1,156,79,3,2,0,213,27,1230.0
25,1,165,82,3,1,1,167,23,1531.25
22,0,176,47,2,0,1,278,73,1460.0
24,0,172,86,1,0,2,224,59,1815.0
27,1,173,50,1,0,0,332,84,1451.25
20,1,158,92,3,0,1,246,57,1812.5
24,0,184,93,4,2,1,210,88,1560.0
28,1,169,63,2,2,0,337,37,1151.25
28,0,186,47,1,2,1,102,59,1092.5
25,1,166,62,1,2,2,310,37,1137.5
22,1,180,83,5,1,0,124,48,1650.0
21,1,157,53,3,0,2,283,30,1411.25
25,1,164,56,4,2,0,160,77,1065.0
25,1,180,49,2,0,0,222,65,1495.0
20,1,179,47,1,1,0,154,46,1293.75
23,1,169,55,5,0,1,262,52,1496.25
22,0,188,74,3,0,0,286,70,1805.0
19,0,161,48,3,2,0,138,83,991.25
25,0,166,49,2,2,0,284,31,1002.5
29,1,179,45,1,1,2,182,53,1228.75
23,1,178,71,2,0,0,294,55,1712.5
19,1,168,72,2,2,1,133,62,1280.0
29,1,160,73,5,2,0,212,42,1190.0
22,1,183,62,3,2,0,329,64,1258.75
18,1,156,56,4,1,2,382,15,1250.0
29,1,183,57,3,0,1,386,64,1573.75
27,0,169,85,3,2,1,254,33,1371.25
23,1,187,46,5,0,1,264,73,1518.75
29,0,173,81,4,1,0,281,82,1546.25
26,0,159,89,1,0,0,338,81,1753.75
18,1,181,60,4,2,1,236,55,1246.25
28,1,164,92,1,0,1,365,24,1810.0
28,0,186,68,4,0,2,286,42,1702.5
27,0,169,79,2,1,1,139,48,1511.25
29,1,152,66,4,1,0,266,53,1270.0
29,1,186,80,5,0,0,359,70,1822.5
20,0,189,55,1,0,0,242,66,1631.25
29,1,157,90,3,0,2,303,17,1741.25
24,1,189,73,5,1,1,275,37,1596.25
21,1,172,79,1,1,0,361,31,1565.0
26,0,189,92,1,0,2,351,85,1971.25
20,0,160,59,3,1,2,299,40,1290.0
22,0,157,75,2,2,0,298,32,1221.25
20,1,178,86,5,1,2,295,60,1677.5
24,1,179,85,3,1,2,176,84,1653.75
22,0,159,87,3,1,0,118,45,1553.75
26,0,188,60,2,2,2,161,23,1245.0
24,0,177,54,5,2,0,380,49,1126.25
19,1,185,93,3,2,0,349,74,1596.25
21,0,162,76,2,0,2,326,77,1667.5
26,0,181,46,5,0,0,226,66,1461.25
29,1,185,68,4,2,0,157,62,1296.25
19,1,186,67,1,0,1,303,75,1742.5
27,1,175,46,2,0,0,342,38,1423.75
26,0,171,82,1,0,1,351,88,1758.75
27,1,153,75,4,2,1,298,72,1176.25
22,1,180,84,3,1,1,339,78,1660.0
19,0,167,70,3,2,1,238,44,1248.75
21,1,187,73,5,2,2,221,43,1398.75
29,0,173,47,2,0,2,148,24,1406.25
29,0,172,58,2,0,0,214,53,1510.0
24,1,171,69,5,1,0,350,69,1443.75
29,1,151,92,1,1,0,106,42,1523.75
25,1,180,45,3,1,2,318,32,1255.0
20,1,160,47,3,1,1,176,55,1175.0
18,1,177,70,2,2,2,278,89,1321.25
21,1,181,62,2,1,2,244,79,1451.25
19,0,154,53,5,2,0,253,60,997.5
25,0,187,82,4,0,0,220,74,1863.75
21,1,159,67,1,1,0,223,23,1363.75
19,0,189,65,4,0,1,249,59,1736.25
23,1,173,45,4,0,1,367,74,1421.25
23,0,184,65,2,2,2,100,42,1285.0
27,0,172,71,2,1,1,260,17,1450.0
21,0,166,86,2,2,0,343,65,1392.5
23,1,150,50,4,0,1,350,22,1327.5
19,0,180,88,1,1,1,163,84,1710.0
27,1,180,80,2,0,1,398,73,1795.0
29,0,183,72,3,0,1,347,75,1718.75
19,0,158,89,1,1,0,396,72,1582.5
27,0,171,61,3,1,0,214,84,1343.75
21,0,162,84,1,1,2,394,26,1547.5
25,0,174,47,2,2,2,100,23,1032.5
24,1,167,56,5,2,2,140,63,1088.75
29,1,161,83,2,0,1,272,31,1696.25
26,0,189,56,4,1,1,187,68,1411.25
25,0,166,46,4,0,0,197,58,1372.5
22,0,164,90,1,0,2,187,46,1815.0
19,0,164,66,4,0,0,350,49,1590.0
22,1,164,67,2,0,2,240,63,1590.0
25,0,188,74,3,0,2,170,68,1790.0
27,1,162,49,2,1,2,236,30,1172.5
26,0,166,53,1,2,1,198,26,1037.5
29,1,181,65,4,1,2,250,22,1441.25
29,0,158,55,3,1,2,274,35,1192.5
29,0,189,49,5,1,1,266,62,1326.25
26,1,169,79,3,2,2,356,22,1321.25
18,0,175,71,3,2,1,323,42,1313.75
26,0,176,93,2,2,1,164,24,1500.0
24,0,170,46,5,1,0,168,66,1202.5
26,1,167,68,1,2,1,166,29,1198.75
